File name,Line,Median,Mean
C:\Users\annma\PycharmProjects\LFAApp_git\LFAs\LFA-Fotos2\IMG_20200213_110933_M025.jpg,1,179.0,147.1137299771167
C:\Users\annma\PycharmProjects\LFAApp_git\LFAs\LFA-Fotos2\IMG_20200213_110933_M025.jpg,2,179.0,147.57166666666666
C:\Users\annma\PycharmProjects\LFAApp_git\LFAs\LFA-Fotos2\IMG_20200213_110933_M025.jpg,3,178.0,146.45044413277233
